MD Measured Depth (ft),TVD True Vertical Depth(ft),EWOFFSET,NSOFFSET,DIP,AZM,Back Pressure Pump (psi),Equivilant Circulating Pressure (mud psi),ROP (ft/hr),Time (days),ROP (m/sec),equivilant_length (m),K (ft/day),K (m/sec),kin viscosity (kg/(m*s),densityOil (kg/m3),dyn viscosity (m2/sec),Permeability_k (m2),Permeability_k (Millidarcy),Pressure (formation psi),Pressure (formation bar),Delta Pressure (psi),Dept Pressure (fresh water head ft),Flow Rate Incremental (ft3/day),Cumulative Flow Rate (ft3/day),Cumulative Flow Rate (bbl/day),"Over, Under, Normal Pressure Flag",Volume Change (ft3),Volume change (bbl),Cumulative change in pit volume (bbl),Rate of pit volume change bbl/hr,Cumulative Change of pit (bbl)
15770,11026.84,-29.16,-5031.53,90.15,183.26,,5513.42,20.833333333333332,101.56250000000014,0.0017638888888888888,2.0,2.0,7.055555555555556e-06,0.042,800,5.25e-05,4.7214985069655124e-14,47.84058362182868,7718.788,532.1919075088,2205.3679999999995,954.9243439999998,636.6162293333332,1110.4214276666664,199.87585697999995,Over,552.6182546296305,98.42573209557423,171.67963510317207,113.3864433741013,198.41761267218658
15864,11028.26,-32.69,-5125.45,88.12,181.04,,5514.13,20.833333333333332,102.4305555555557,0.0017638888888888888,2.0,2.0,7.055555555555556e-06,0.042,800,5.25e-05,4.7214985069655124e-14,47.84058362182868,7719.781999999999,532.2604414232,2205.651999999999,955.0473159999996,636.6982106666663,1747.1196383333327,314.4815348999999,Over,552.6894189814822,98.43840703595382,270.1180421391259,113.40104490541859,311.81865757760517
15958,11030.46,-34.85,-5219.39,89.2,181.6,,5515.23,20.833333333333332,103.29861111111126,0.0017638888888888888,2.0,2.0,7.055555555555556e-06,0.042,800,5.25e-05,4.7214985069655124e-14,47.84058362182868,7721.321999999999,532.3666207271999,2206.0919999999996,955.2378359999998,636.8252239999998,2383.9448623333324,429.1100752199998,Over,552.799673611112,98.45804426752792,368.57608640665387,113.42366699619197,425.24232457379713
16053,11030.13,-38.25,-5314.33,91.2,182.5,,5515.065,20.833333333333332,104.16666666666681,0.0017638888888888888,2.0,2.0,7.055555555555556e-06,0.042,800,5.25e-05,4.7214985069655124e-14,47.84058362182868,7721.0909999999985,532.3506938315999,2206.025999999999,955.2092579999995,636.8061719999997,3020.751034333332,543.7351861799997,Over,552.7831354166674,98.45509868279179,467.03118508944567,113.42027368257592,538.662598256373
16148,11028.88,-41.66,-5409.25,90.31,181.62,,5514.44,20.833333333333332,105.03472222222237,0.0017638888888888888,2.0,2.0,7.055555555555556e-06,0.042,800,5.25e-05,4.7214985069655124e-14,47.84058362182868,7720.2159999999985,532.2903646815998,2205.775999999999,955.1010079999995,636.734005333333,3657.485039666665,658.3473071399998,Over,552.7204907407415,98.44394116485199,565.4751262542977,113.40742022190929,652.0700184782823
16242,11031.48,-44.0,-5503.17,86.51,181.23,,5515.74,20.833333333333332,105.90277777777793,0.0017638888888888888,2.0,2.0,7.055555555555556e-06,0.042,800,5.25e-05,4.7214985069655124e-14,47.84058362182868,7722.035999999999,532.4158493135999,2206.2959999999994,955.3261679999997,636.8841119999998,4294.369151666665,772.9864472999997,Over,552.8507916666675,98.46714880216682,663.9422750564645,113.43415542009596,765.5041738983783
16338,11037.81,-45.79,-5598.95,85.93,180.91,,5518.905,20.833333333333332,106.77083333333348,0.0017638888888888888,2.0,2.0,7.055555555555556e-06,0.042,800,5.25e-05,4.7214985069655124e-14,47.84058362182868,7726.466999999999,532.7213561291999,2207.561999999999,955.8743459999996,637.2495639999997,4931.618715666665,887.6913688199996,Over,553.1680243055563,98.52365047301402,762.4659255294785,113.49924534491194,879.0034192432903
16433,11043.84,-47.25,-5693.74,86.79,180.86,,5521.92,20.833333333333332,107.63888888888904,0.0017638888888888888,2.0,2.0,7.055555555555556e-06,0.042,800,5.25e-05,4.7214985069655124e-14,47.84058362182868,7730.687999999999,533.0123839487999,2208.767999999999,956.3965439999996,637.5976959999997,5569.2164116666645,1002.4589540999996,Over,553.470222222223,98.57747433955569,861.0433998690341,113.56125043916795,992.5646696824582
16528,11047.76,-47.39,-5788.65,88.49,179.31,,5523.88,20.833333333333332,108.5069444444446,0.0017638888888888888,0.045258043259448065,0.045258043259448065,1.5966031927638622e-07,0.042,800,5.25e-05,1.068428918388323e-15,1.0825856015569824,7733.432,533.2015761632,2209.5519999999997,956.7360159999998,14.43333333333333,5583.649744999998,1005.0569540999995,Over,12.528935185185205,2.2315035879629663,863.2749034569971,2.5706921333333326,995.1353618157915
16623,11050.97,-46.52,-5883.6,87.63,179.63,,5525.485,20.833333333333332,109.37500000000016,0.0017638888888888888,0.045244897054285735,0.045244897054285735,1.5961394238595243e-07,0.042,800,5.25e-05,1.0681185694480918e-15,1.0822711404932932,7735.678999999999,533.3565014203999,2210.1939999999995,957.0140019999998,14.43333333333333,5598.083078333331,1007.6549540999996,Over,12.528935185185205,2.2315035879629663,865.50640704496,2.5706921333333326,997.7060539491248
